date,time,white,black,white_elo,black_elo,result,time_control,eco,opening,termination,moves_san
2025.09.30,15:54:25,RhysLWells,Vemururajesh,896,918,0-1,300,B01,,Vemururajesh won on time,e4 d5 exd5 Qxd5 Nc3 Qe5+ Nge2 Bg4 g3 Bxe2 Nxe2 c6 Bg2 e6 d3 a6 Bf4 Qa5+ c3 Nd7 b4 Qb6 Be3 Qc7 Bf4 Qc8 Nd4 h6 Qe2 Ndf6 O-O Nd5 Bd2 Ngf6 Bxd5 cxd5 Rfe1 Be7 Nf5 Qc7 Nxe7 Qxe7 c4 O-O Bc3 Rfc8 Rac1 dxc4 dxc4 Rc6 Red1 Rac8 c5 R8c7 a4 Rd7 Rxd7 Qxd7 Rd1 Qe7 Rd3 Nd5 Be1 Qg5 Kh1 Qf5 Rf3 Qg6 Bd2 Qc2 b5 axb5 axb5 Rxc5 b6 Qb1+ Kg2 Rb5 Be3 Qb2 Qxb2 Rxb2 Bd4 Nxb6 Bxb6 Rxb6 h4 Rb2 Rc3 Re2 Kf3 Re3+ Kxe3 Kh7 Ke4 f6 Kf3 e5 Rc7 Kg6
2025.09.30,14:32:34,8stickyrice,RhysLWells,922,904,1-0,300,C00,,8stickyrice won by checkmate,e4 e6 Nf3 Nc6 e5 Bc5 d4 Bb6 c4 d5 c5 Ba5+ Bd2 Bxd2+ Qxd2 b6 b4 Nge7 Ng5 Nf5 Bb5 Bb7 Bxc6+ Bxc6 O-O h6 Nf3 Bb5 Re1 O-O Qf4 bxc5 bxc5 Rb8 Nbd2 Bd3 Nb3 g6 g4 Nh4 Qxh6 Nxf3+ Kg2 Nxe1+ Rxe1 Be4+ f3 Bc2 h4 Bxb3 axb3 Rxb3 h5 Rb2+ Kg3 Rh2 Kxh2 Qh4+ Kg2 Qxe1 hxg6 Qe2+ Kg3 Qe1+ Kg2 Qe2+ Kg3 Qf1 Qh7#
2025.09.30,08:43:09,RhysLWells,Heizennbergg,912,908,0-1,300,B01,,Heizennbergg won on time,e4 d5 exd5 Nf6 c4 Nxd5 cxd5 Qxd5 Nc3 Qe5+ Be2 Bg4 f3 Bh5 Qc2 Bg6 d3 Nc6 g3 Nd4 Qa4+ c6 Bf4 Qc5 Rc1 Nxe2 Ngxe2 Bxd3 Ne4 Qb5 Nc5 Bxe2 Qxb5 Bxb5 Nxb7 e6 Bd6 Bxd6 Nxd6+ Ke7 Nxb5 cxb5 O-O Rhd8 Rc7+ Kf8 Rfc1 a6 R1c6 a5 Kg2 Rd2+ Kh3 Rxb2 Kg4 Rxa2 Kf4 Ra4+ Ke5 Ra3 f4 Re3+ Kd4 Re2 h4 Re1 Kc3 b4+ Kb3 Rb1+ Ka4 Ra1+ Kb3 Rb8 Rc1 Ra3+ Kb2 a4 Rc8+ Rxc8 Rxc8+ Ke7 Rc4 Rb3+ Ka2 Rxg3 Rxb4 a3 Rb7+ Kf6 h5 h6 f5 Rf3 Ra7 Kxf5 Rxf7+ Ke4 Rxg7 Rf5 Re7 Ke5 Kxa3 Rxh5 Ra7 Kf6 Kb4 e5 Ra6+ Kf5 Ra5 Rh4+ Kc3 Kf4 Ra4+ e4 Kd2 Rh3 Ke2 h5
2025.09.30,08:33:22,Criistiaaan,RhysLWells,915,921,1-0,300,D02,,Criistiaaan won by checkmate,d4 e6 Nf3 d5 e3 Nc6 c4 a6 a3 b6 Nc3 Nf6 Bd3 g6 O-O Bg7 Re1 O-O e4 dxe4 Nxe4 Nxe4 Bxe4 Nxd4 Nxd4 Rb8 Nc6 Qxd1 Rxd1 Bb7 Nxb8 Bxe4 f3 Bb7 Nd7 Re8 Bf4 c5 Nxb6 Bxb2 Ra2 Bd4+ Kh1 e5 Bg5 Kg7 h3 f6 Bh4 g5 Bg3 Bc6 Re2 a5 h4 h6 hxg5 hxg5 Bf2 Bxf2 Rxf2 a4 Rd6 Bb7 Rd7+ Kg6 Rxb7 Rh8+ Kg1 Kf5 g4+ Kf4 Nd5+ Kg3 Nxf6 Rh1+ Kxh1 Kxf2 Rb5 Kxf3 Rxc5 e4 Re5 e3 Rxe3+ Kxe3 c5 Kd4 c6 Kc4 c7 Kb3 c8=Q Kxa3 Qc3+ Ka2 Qd2+ Kb3 Qxg5 a3 Qc1 a2 Qa1 Ka3 g5 Kb3 g6 Ka3 g7 Kb3 g8=Q+ Ka3 Qg3+ Kb4 Qd4+ Kb5 Qge5+ Kc6 Qdd6+ Kb7 Qee7+ Ka8 Qdd8#
2025.09.30,08:30:45,RhysLWells,ClouD2103,930,912,1-0,300,C00,,RhysLWells won by resignation,e4 e6 Nf3 Bc5 d4 Bb6 c3 d5 Nbd2 Nc6 Bd3 Na5 b3 c5 Ba3 cxd4 cxd4 Nc6 Bb2 Nb4 Bb5+ Bd7 Bxd7+ Qxd7 Ne5 Qb5 a3 Nd3+ Kf1 Nxb2+ Qe2 Nd1 Qxb5+
2025.09.29,20:32:41,RhysLWells,GrindelwaldTR,922,943,0-1,300,B22,,GrindelwaldTR won by resignation,e4 c5 Nf3 Nc6 Bc4 e5 c3 Nf6 d3 d6 Bb5 Be6 Nbd2 a6 Bxc6+ bxc6 Nb3 Rb8 Qe2 d5 c4 Bd6 exd5 cxd5 Bg5 dxc4 dxc4 Rb4 Nfd2 Bg4 f3 Bf5 O-O O-O a3 Rb7 Ne4 Rxb3 Rfd1 Rb6 Nxf6+ gxf6 Be3 Qe7 Qf2 Kh8 Qg3 Rg8 Qf2 Bh3 g3 e4 f4 Qc7 Rd2 a5 Rad1 Be7 f5 Bd6 Rxd6 Rxd6 Bxc5 Rxd1+
2025.09.29,20:24:19,rhaycatz,RhysLWells,949,930,1-0,300,C01,,rhaycatz won by checkmate,e4 e6 d4 d5 exd5 Qxd5 Nf3 Nc6 g3 f6 Bg2 Qd8 O-O b6 c3 Bb7 Nbd2 Bd6 Ne4 Nge7 Re1 f5 Nxd6+ Qxd6 Bf4 Qd7 Ne5 Nxe5 Bxb7 Rd8 Bxe5 c6 Bxg7 Rg8 Qh5+ Ng6 Qxh7 Rxg7 Rxe6+ Kf7 Rxg6 Kf8 Qxg7+ Qxg7 Rxg7 Kxg7 Bxc6 Rc8 d5 a5 Re1 Rd8 Re7+ Kf6 Rb7 Ke5 Rxb6 a4 f4+ Kd6 Ra6 Kc5 Rxa4 Rxd5 Bxd5 Kxd5 Ra5+ Kc4 Rxf5 Kd3 Rd5+ Kc2 b4 Kb2 b5 Kxc3 a4 Kc4 b6 Kxd5 b7 Ke4 b8=R Kf3 a5 Kg4 a6 Kf3 a7 Kg4 a8=R Kf3 h4 Kxg3 h5 Kxf4 h6 Kg5 h7 Kg4 h8=R Kf3 Rh3+ Ke2 Rb2+ Ke1 Re3+ Kd1 Kf1 Kc1 Ke1 Kxb2 Kd2 Kb1 Kc3 Kc1 Re1#
2025.09.29,20:20:21,12crc,RhysLWells,910,938,0-1,300,B00,,RhysLWells won by resignation,e4 e6 d4 Nc6 Nf3 d5 e5 b6 Bb5 Bb7 O-O a6 Bxc6+ Bxc6 c3 Ne7 Bg5 h6 Bxe7 Bxe7 Nbd2 Bb5 Re1 a5 a4 Bc4 Nxc4 dxc4 Re4 Qd7 Rg4 g5 h3 b5 axb5 Qxb5 Ra2 a4 Nd2 Rf8 Ne4 f5 Nf6+ Bxf6 exf6 fxg4 hxg4 Rxf6 Qf3 Rxf3
2025.09.29,17:37:29,aniss31,RhysLWells,957,930,1-0,300,C00,,aniss31 won on time,e4 e6 Nc3 Nf6 d4 d5 e5 Nfd7 Nf3 Nc6 Bg5 Be7 Be3 b6 Bb5 Bb7 Bxc6 Bxc6 O-O h6 Ne2 Bb5 c3 Bg5 Bxg5 hxg5 Re1 Qe7 Qd2 g4 Ng5 O-O-O Qf4 f5 exf6 Nxf6 Ng3 Nh5 Nxh5 Rxh5 Qxg4 Rxg5 Qxe6+ Qxe6 Rxe6 Bc4 a3 Rd6 Re8+ Kb7 Rae1 Bd3 R8e7 Be4 f3 Bc2 Kf2 Rdg6 g3 Rh5 h4 Rf5 f4 Be4 h5 Rh6 Rxg7 Rfxh5 Ke3 Rh1 Rxh1 Rxh1 g4 Rh3+ Kf2 Rh2+ Kg3 Rxb2 f5 Rg2+ Kf4 Kc6 f6 Rf2+ Ke5 Re2 Kf4 Rf2+ Kg5 Kd6 f7 Ke6 Rg6+
2025.09.29,17:28:27,RhysLWells,MrTMrs,938,903,1-0,300,C53,,RhysLWells won by resignation,e4 e5 Nf3 Nc6 Bc4 h6 c3 Nf6 d3 Bc5 Qe2 Ng4 O-O d6 Be3 Nxe3 fxe3 Bg4 h3 Bxf3 Qxf3 O-O Bxf7+ Kh8 Qf5 Bxe3+ Kh1 Ne7 Qf3 Bg5 Na3 Qd7 Qh5 g6 Bxg6 Nxg6 Qxg6 Rxf1+ Rxf1 Rg8 Qf7 Qxf7 Rxf7 Bc1 Nc4 b5 Na5 Bxb2 Rxc7 a6 Ra7 Bxc3 Nc6 Rf8 Rxa6 Bd2 g4 Rf2 Kg1 Be3 Kh1 Rf1+ Kh2 Bf4+ Kg2 Rd1 Nb4 Bd2 Nd5 Bb4
